location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
hardhyanpura, hardhyanpura,5155000.0,1962,2627.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-218-sq-yd-plot-in/9717738
hardhyanpura, hardhyanpura,5154000.0,1800,2863.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-200-sq-yd-plot-in/9717732
hardhyanpura, hardhyanpura,5181000.0,1692,3062.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-188-sq-yd-plot-in/9680398
hardhyanpura, hardhyanpura,5132000.0,1476,3476.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-164-sq-yd-plot-in/9701156
hardhyanpura, hardhyanpura,5130000.0,1287,3986.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-143-sq-yd-plot-in/9701147
hardhyanpura, hardhyanpura,5140000.0,1314,3911.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-146-sq-yd-plot-in/9711292
hardhyanpura, hardhyanpura,5185000.0,2106,2462.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-234-sq-yd-plot-in/9680422
hardhyanpura, hardhyanpura,5137000.0,1944,2642.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-216-sq-yd-plot-in/9701180
hardhyanpura, hardhyanpura,5143000.0,1692,3039.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-188-sq-yd-plot-in/9711306
hardhyanpura, hardhyanpura,5152000.0,1638,3145.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-182-sq-yd-plot-in/9717726
hardhyanpura, hardhyanpura,5191000.0,1422,3650.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-158-sq-yd-plot-in/9685913
hardhyanpura, hardhyanpura,5151000.0,1422,3622.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-158-sq-yd-plot-in/9717718
hardhyanpura, hardhyanpura,5185000.0,2052,2526.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-228-sq-yd-plot-in/9680419
hardhyanpura, hardhyanpura,5149000.0,1665,3092.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-185-sq-yd-plot-in/9711305
hardhyanpura, hardhyanpura,5186000.0,1584,3273.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-176-sq-yd-plot-in/9680393
hardhyanpura, hardhyanpura,5185000.0,2034,2549.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-226-sq-yd-plot-in/9680418
hardhyanpura, hardhyanpura,5151000.0,1503,3427.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-167-sq-yd-plot-in/9717721
tonk road, tonk road,5061000.0,1368,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1368-sq-ft-plot-in-tonk-road/9678969
tonk road, tonk road,4284000.0,1158,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1158-sq-ft-plot-in-tonk-road/9678954
tonk road, tonk road,5257000.0,1421,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1421-sq-ft-plot-in-tonk-road/9678973
tonk road, tonk road,5020000.0,1357,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1357-sq-ft-plot-in-tonk-road/9678968
