,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
801,villa,central jaipur, Shyam Nagar,32500000.0,4.0,4.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-160-sq-yd-villa-in-jaipur-property-ndream-ho/9513808,1008.0
802,villa,gandhi path, Gandhi Path,18500000.0,4.0,3.0,1.0,,furnished,https://www.squareyards.com/resale-4-bhk-1245-sq-ft-villa-in-jaipur-property-n-dream-h/9456636,1245.0
804,villa,other, Nari Ka Bas,8500000.0,4.0,4.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-study-room-extra-room-2300-sq-ft-villa-in-ansal-sushant-city/8500127,2300.0
806,villa,other, Machwa,6600000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1700-sq-ft-villa-in-kedia-aravali/8543330,1700.0
807,villa,shri kishanpura, Shri Kishanpura,15000000.0,4.0,3.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-116-sq-yd-villa-in-ashadeep-green-valley/9117148,907.0
808,villa,jagatpura, Jagatpura,21100000.0,4.0,4.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-study-room-133-sq-yd-villa-in-shiv-nagar-jagatpura/9142794,1197.0
809,villa,kishorpura, Kishorpura,2600000.0,2.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-servant-room-study-room-extra-room-1300-sq-ft-villa-in-vrb-the-platinum/8203961,1300.0
810,villa,sirsi road, Sirsi Road,19700000.0,3.0,3.0,3.0,,furnished,https://www.squareyards.com/resale-3-bhk-1900-sq-ft-villa-in-sirsi-road/9298398,1900.0
811,villa,gandhi path, Gandhi Path,11800000.0,3.0,3.0,3.0,,furnished,https://www.squareyards.com/resale-3-bhk-2245-sq-ft-villa-in-gandhi-path/9401220,2245.0
812,villa,other, Narayan Vihar,9500000.0,3.0,3.0,,2.0,furnished,https://www.squareyards.com/resale-3-bhk-1900-sq-ft-villa-in-narayan-vihar/8722927,1900.0
813,villa,sirsi road, Sirsi Road,18000000.0,3.0,3.0,3.0,,furnished,https://www.squareyards.com/resale-3-bhk-1589-sq-ft-villa-in-sirsi-road/9206569,1589.0
814,villa,kalwar road, Kalwar Road,9900000.0,4.0,4.0,1.0,,semi-furnished,https://www.squareyards.com/resale-4-bhk-126-sq-ft-villa-in-kalwar-road/9026964,126.0
815,villa,govindpura, Gov,6000000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-78-sq-yd-villa-in-govindpura/9097323,702.0
816,villa,kalwar road, Kalwar Road,3200000.0,3.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-1700-sq-ft-villa-in-ansal-anandlok-plots/8762745,1700.0
817,villa,other, Kardhani,8500000.0,3.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-100-sq-yd-villa-in-kardhani/8781130,782.0
818,villa,ajmer road, Ajmer Road,12100000.0,4.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-138-sq-yd-villa-in-shree-balaji-chamber-and/9091241,1242.0
820,villa,mansarovar, Mansarovar,9740000.0,3.0,4.0,2.0,,furnished,https://www.squareyards.com/resale-3-bhk-study-room-766-sq-ft-villa-in-mansarovar/9136218,766.0
821,villa,mansarovar, Mansarovar,9779000.0,3.0,4.0,2.0,,furnished,https://www.squareyards.com/resale-3-bhk-study-room-768-sq-ft-villa-in-mansarovar/9136238,768.0
822,villa,kalwar road, Kalwar Road,6000000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-83-sq-yd-villa-in-kalwar-road/8502136,522.9
823,villa,mansarovar, Mohanpura,10200000.0,3.0,3.0,1.0,,furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1042-sq-ft-villa-in-ravi-kiran-vihar/8673286,1198.0
824,villa,ajmer road, Ajmer Road,3700000.0,2.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-80-sq-yd-villa-in-shree-balaji-chamber-and/9090539,720.0
825,villa,sirsi road, Sirsi Road,7552000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-95-sq-yd-villa-in-sirsi-road/9430897,855.0
826,villa,vaishali nagar, Vaishali Nagar,14500000.0,4.0,4.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-study-room-extra-room-205-sq-yd-villa-in-vaishali-nagar/8817820,1845.0
828,villa,ajmer road, Ajmer Road,7395999.999999999,3.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-88-sq-mt-villa-in-ajmer-road/9437301,880.0
829,villa,ajmer road, Ajmer Road,7530000.0,3.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-95-sq-mt-villa-in-ajmer-road/9437305,950.0
830,villa,sirsi road, Sirsi Road,9351000.0,3.0,3.0,1.0,1.0,furnished,https://www.squareyards.com/resale-3-bhk-2150-sq-ft-villa-in-anandam-villa-radha-vihar/9256472,2150.0
831,villa,kalwar road, Kalwar Road,7500000.0,3.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-2000-sq-ft-villa-in-kalwar-road/8642193,2000.0
832,villa,other, Ganeshpura,10000000.0,4.0,2.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-4-bhk-1800-sq-ft-villa-in-ganesh-nagar/8421191,1800.0
833,villa,mansarovar, Sumer Nagar,14000000.0,4.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-1700-sq-ft-villa-in-sumer-nagar/8413208,1700.0
834,villa,mansarovar, Patrakar Colony,12000000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-100-sq-yd-villa-in-khushi-vihar/8967190,900.0
835,villa,ajmer road, Jaipur Ajmer Express Highway,4200000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1200-sq-ft-villa-in-hatoj-chirau-hosp/9104545,1200.0
836,villa,govindpura, Gov,5000000.0,4.0,3.0,,,semi-furnished,https://www.squareyards.com/resale-4-bhk-1500-sq-ft-villa-in-govindpura/8915541,1500.0
837,villa,kalwar road, Kalwar Road,5506000.0,3.0,3.0,2.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-extra-room-1405-sq-ft-villa-in-ansal-sushant-city-ii/9481599,1405.0
838,villa,kalwar road, Kalwar Road,5550000.0,3.0,3.0,2.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-extra-room-1415-sq-ft-villa-in-ansal-sushant-city-ii/9481622,1415.0
