,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
104,flat,gandhi path, Gandhi Path,12000000.0,4.0,4.0,,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-2400-sq-ft-apartment-in-vardhman-arcadia-greens/8916229,2400.0
105,studio flat,bhakrota, Bhakrota,3300000.0,0.0,1.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-studio-512-sq-ft-apartment-in-skyline-fresco/9257121,512.0
106,flat,patrakar colony, Patrakar Colony,5900000.0,3.0,3.0,1.0,1.0,Unfurnished,https://www.squareyards.com/resale-3-bhk-1800-sq-ft-apartment-in-patrakar-colony/9662524,1800.0
107,flat,shri kishanpura, Karolan Ka Barh,8000000.0,4.0,3.0,4.0,1.0,Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-1600-sq-ft-apartment-in-kalyan-eva/8980874,1391.0
108,studio flat,ajmer road, Ajmer Road,5500000.0,0.0,1.0,,,Semi-Furnished,https://www.squareyards.com/resale-studio-pooja-room-648-sq-ft-apartment-in-manglam-pink-west/9023476,648.0
109,flat,other, Vatika,12500000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1825-sq-ft-apartment-in-shree-govind-crystal-city-phase-ii/9705537,1825.0
110,flat,sirsi road, Sirsi Road,4500000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-731-sq-ft-apartment-in-satyam-utopia/9577136,841.0
111,flat,vaishali nagar, Vaishali Nagar,13000000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-1741-sq-ft-apartment-in-vaishali-nagar/9565276,1741.0
112,flat,vaishali nagar, Vaishali Nagar,10000000.0,4.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-1950-sq-ft-apartment-in-vaishali-nagar/9748337,1950.0
114,flat,jagatpura, Jagatpura,8500000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1401-sq-ft-apartment-in-jagatpura/9826208,1218.0
115,flat,jagatpura, Jagatpura,4725000.0,3.0,3.0,1.0,2.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1375-sq-ft-apartment-in-divine-homes-jagatpura/9626685,1375.0
116,flat,mansarovar, Mansarovar,6800000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1470-sq-ft-apartment-in-3bhk-flat/9508424,1470.0
117,flat,central jaipur, Adarsh Nagar,10000000.0,3.0,3.0,,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1600-sq-ft-apartment-in-adarsh-nagar/9721823,1391.0
119,flat,jagatpura, Jagatpura,7695999.999999999,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1480-sq-ft-apartment-in-vn-exclusive-444/9249690,1480.0
