,location_area,property_location,total_price,area_sqft,outside_view,property_link
2794,mahaveer nagar, mahaveer nagar,17400000.0,1100.0,road view,https://www.squareyards.com/resale-1100-sq-ft-plot-in-mahaveer-nagar/9837472
2796,mahaveer nagar, mahaveer nagar,33500000.0,2110.0,road view,https://www.squareyards.com/resale-2110-sq-ft-plot-in-mahaveer-nagar/9837537
2797,mahaveer nagar, mahaveer nagar,37000000.0,2306.0,road view,https://www.squareyards.com/resale-2306-sq-ft-plot-in-mahaveer-nagar/9837514
2798,mahaveer nagar, mahaveer nagar,37000000.0,2309.0,road view,https://www.squareyards.com/resale-2309-sq-ft-plot-in-mahaveer-nagar/9837533
2799,mahaveer nagar, mahaveer nagar,19800000.0,1250.0,road view,https://www.squareyards.com/resale-1250-sq-ft-plot-in-mahaveer-nagar/9837498
2800,mahaveer nagar, mahaveer nagar,25500000.0,1610.0,road view,https://www.squareyards.com/resale-1610-sq-ft-plot-in-mahaveer-nagar/9837534
2801,mahaveer nagar, mahaveer nagar,15400000.0,1100.0,road view,https://www.squareyards.com/resale-1100-sq-ft-plot-in-mahaveer-nagar/9845258
2803,mahaveer nagar, mahaveer nagar,14800000.0,1060.0,road view,https://www.squareyards.com/resale-1060-sq-ft-plot-in-mahaveer-nagar/9845332
2805,mahaveer nagar, mahaveer nagar,13500000.0,1009.0,road view,https://www.squareyards.com/resale-1009-sq-ft-plot-in-mahaveer-nagar/9845336
2806,mahaveer nagar, mahaveer nagar,13500000.0,1002.0,road view,https://www.squareyards.com/resale-1002-sq-ft-plot-in-mahaveer-nagar/9845262
2807,mahaveer nagar, mahaveer nagar,16100000.000000002,1150.0,road view,https://www.squareyards.com/resale-1150-sq-ft-plot-in-mahaveer-nagar/9845273
2808,mahaveer nagar, mahaveer nagar,23100000.0,1650.0,road view,https://www.squareyards.com/resale-1650-sq-ft-plot-in-mahaveer-nagar/9845288
2809,mahaveer nagar, mahaveer nagar,19700000.0,1410.0,road view,https://www.squareyards.com/resale-1410-sq-ft-plot-in-mahaveer-nagar/9845318
2810,mahaveer nagar, mahaveer nagar,21100000.0,1510.0,road view,https://www.squareyards.com/resale-1510-sq-ft-plot-in-mahaveer-nagar/9845320
2811,mahaveer nagar, mahaveer nagar,13500000.0,1007.0,road view,https://www.squareyards.com/resale-1007-sq-ft-plot-in-mahaveer-nagar/9845316
2813,mahaveer nagar, mahaveer nagar,16900000.0,1210.0,road view,https://www.squareyards.com/resale-1210-sq-ft-plot-in-mahaveer-nagar/9845311
2814,pratap nagar, pratap nagar,3150000.0,1350.0,road view,https://www.squareyards.com/resale-150-sq-yd-plot-in-pratap-nagar/9818480
2817,mahaveer nagar, mahaveer nagar,19200000.0,1210.0,road view,https://www.squareyards.com/resale-1210-sq-ft-plot-in-mahaveer-nagar/9837525
2819,mahaveer nagar, mahaveer nagar,37000000.0,2310.0,road view,https://www.squareyards.com/resale-2310-sq-ft-plot-in-mahaveer-nagar/9837496
2820,mahaveer nagar, mahaveer nagar,30200000.0,1900.0,road view,https://www.squareyards.com/resale-1900-sq-ft-plot-in-mahaveer-nagar/9837492
