,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
2407, Builder Floor ,sodala, Sodala,13000000.0,6500.0,3,3.0,1.0,1.0,0,0,0,0,Semi-Furnished,26.89555561053382,75.77294245362282,https://www.squareyards.com/resale-3-bhk-2000-sq-ft-builder-floor-in-sodala/8609786,2000.0
2408, Builder Floor ,jagatpura, Jagatpura,6497000.0,4197.0,3,3.0,,,0,0,0,0,Semi-Furnished,26.835285,75.824203,https://www.squareyards.com/resale-3-bhk-1548-sq-ft-builder-floor-in-jagatpura/9078987,1548.0
2409, Builder Floor ,vaishali nagar, Vaishali Nagar,15600000.0,6473.0,3,2.0,1.0,1.0,0,1,0,0,semi-furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-servant-room-2410-sq-ft-builder-floor-in-vaishali-nagar/9344385,2410.0
2410, Builder Floor ,gurjar ki thadi, Gurjar Ki Thadi,3875000.0,4057.0,2,2.0,1.0,,0,0,0,0,semi-furnished,26.87514351494293,75.76829621291763,https://www.squareyards.com/resale-2-bhk-955-sq-ft-builder-floor-in-gurjar-ki-thadi/9213023,955.0
2411, Builder Floor ,mansarovar, Mansarovar Extension,3500000.0,2692.0,3,3.0,,,1,0,0,0,semi-furnished,26.83867375128292,75.73787592351437,https://www.squareyards.com/resale-3-bhk-pooja-room-1300-sq-ft-builder-floor-in-mansarovar-extension/9169945,1130.0
2412, Builder Floor ,vaishali nagar, Vaishali Nagar,2403000.0,1602.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1500-sq-ft-builder-floor-in-vaishali-nagar/9513988,1500.0
2413, Builder Floor ,vaishali nagar, Vaishali Nagar,2502000.0,1585.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1578-sq-ft-builder-floor-in-vaishali-nagar/9513997,1578.0
2414, Builder Floor ,vaishali nagar, Vaishali Nagar,2509000.0,1505.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1667-sq-ft-builder-floor-in-vaishali-nagar/9514000,1667.0
2415, Builder Floor ,vaishali nagar, Vaishali Nagar,2700000.0,1518.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1778-sq-ft-builder-floor-in-vaishali-nagar/9514007,1778.0
2416, Builder Floor ,vaishali nagar, Vaishali Nagar,2503000.0,1565.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1599-sq-ft-builder-floor-in-vaishali-nagar/9514015,1599.0
2417, Builder Floor ,vaishali nagar, Vaishali Nagar,2507000.0,1524.0,3,2.0,2.0,,0,0,0,0,Furnished,26.904824,75.748962,https://www.squareyards.com/resale-3-bhk-1645-sq-ft-builder-floor-in-vaishali-nagar/9513999,1645.0
2418, Builder Floor ,central jaipur, C-Scheme,28000000.0,13895.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2015-sq-ft-builder-floor-in-c-scheme/9407639,2015.0
2419, Builder Floor ,central jaipur, C-Scheme,28000000.0,13930.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2010-sq-ft-builder-floor-in-c-scheme/9407619,2010.0
2420, Builder Floor ,central jaipur, C-Scheme,28000000.0,13861.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2020-sq-ft-builder-floor-in-c-scheme/9407626,2020.0
2421, Builder Floor ,central jaipur, C-Scheme,28000000.0,13895.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-2015-sq-ft-builder-floor-in-c-scheme/9407625,2015.0
2422, Builder Floor ,vaishali nagar, Vaishali Nagar,2305000.0,4365.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-528-sq-ft-builder-floor-in-vaishali-nagar/9546810,528.0
2423, Builder Floor ,vaishali nagar, Vaishali Nagar,2908000.0,2952.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-985-sq-ft-builder-floor-in-vaishali-nagar/9546852,985.0
2424, Builder Floor ,vaishali nagar, Vaishali Nagar,2909000.0,2911.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-999-sq-ft-builder-floor-in-vaishali-nagar/9546806,999.0
2425, Builder Floor ,vaishali nagar, Vaishali Nagar,2800000.0,3274.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-855-sq-ft-builder-floor-in-vaishali-nagar/9546860,855.0
2426, Builder Floor ,vaishali nagar, Vaishali Nagar,2807000.0,3122.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-899-sq-ft-builder-floor-in-vaishali-nagar/9546842,899.0
2427, Builder Floor ,vaishali nagar, Vaishali Nagar,2704000.0,3380.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-800-sq-ft-builder-floor-in-vaishali-nagar/9546836,800.0
2428, Builder Floor ,vaishali nagar, Vaishali Nagar,2606000.0,3451.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-755-sq-ft-builder-floor-in-vaishali-nagar/9546831,755.0
